"ODS_Code","Female","Male","Total"
"G81001",4567,4532,9099
"G81002",2873,3060,5933
"G81003",8721,8323,17044
"G81004",11300,10500,21800
"G81006",6156,7214,13370
"G81007",4938,4813,9751
"G81008",7315,6951,14266
"G81011",18576,20014,38590
"G81012",3304,3075,6379
"G81014",4145,3916,8061
"G81016",5185,5075,10260
"G81017",5680,5689,11369
"G81018",5823,5954,11777
"G81019",5609,5448,11057
"G81021",14500,13719,28219
"G81022",7523,6899,14422
"G81023",4237,4065,8302
"G81024",5042,4821,9863
"G81028",12330,12736,25066
"G81029",9351,8687,18038
"G81030",4548,4338,8886
"G81031",6115,5705,11820
"G81032",14022,13919,27941
"G81034",14766,14294,29060
"G81036",4578,4541,9119
"G81037",4507,4307,8814
"G81038",8974,9253,18227
"G81039",9247,8082,17329
"G81040",1938,1648,3586
"G81041",7560,6855,14415
"G81042",6965,6810,13775
"G81043",3751,3580,7331
"G81044",2994,3199,6193
"G81046",5975,5778,11753
"G81047",2932,4069,7001
"G81048",4350,4252,8602
"G81049",6954,6768,13722
"G81050",6150,5378,11528
"G81051",3620,3496,7116
"G81052",2082,2067,4149
"G81054",9238,10760,19998
"G81055",4788,4582,9370
"G81057",3201,3127,6328
"G81059",5892,5604,11496
"G81061",3071,3187,6258
"G81065",9352,8900,18252
"G81070",11557,11762,23319
"G81071",9847,11623,21470
"G81073",4354,3994,8348
"G81074",9058,9076,18134
"G81075",3559,3574,7133
"G81076",5400,5196,10596
"G81077",8883,8268,17151
"G81082",3035,2982,6017
"G81083",3774,3675,7449
"G81084",5419,5079,10498
"G81085",1994,1935,3929
"G81086",3895,3720,7615
"G81087",3400,3307,6707
"G81088",6329,6088,12417
"G81089",1751,1799,3550
"G81095",11967,12247,24214
"G81096",1470,1521,2991
"G81098",5748,5549,11297
"G81099",5051,4585,9636
"G81100",9662,9293,18955
"G81102",7850,7488,15338
"G81104",6193,5772,11965
"G81613",2587,2944,5531
"G81614",2694,2654,5348
"G81634",2869,2517,5386
"G81638",9212,8424,17636
"G81641",1559,1612,3171
"G81646",1216,1385,2601
"G81656",4590,5782,10372
"G81658",8833,9001,17834
"G81663",2684,2722,5406
"G81667",986,982,1968
"G81669",2416,2496,4912
"G81680",6734,6914,13648
"G81689",552,2252,2804
"G81694",1453,1773,3226
"H82003",4929,4744,9673
"H82004",2381,2424,4805
"H82005",6144,6037,12181
"H82006",3036,2974,6010
"H82007",6918,6288,13206
"H82009",8216,7654,15870
"H82011",7847,7648,15495
"H82012",6247,6574,12821
"H82013",6804,6188,12992
"H82014",13468,12446,25914
"H82016",6641,6837,13478
"H82017",11830,11718,23548
"H82020",4287,4917,9204
"H82021",3367,3222,6589
"H82022",6216,5840,12056
"H82023",18594,17815,36409
"H82025",8095,8015,16110
"H82026",9478,9642,19120
"H82027",2057,1969,4026
"H82028",6862,6901,13763
"H82030",6712,6437,13149
"H82031",3206,3164,6370
"H82032",6673,6308,12981
"H82033",3679,3723,7402
"H82034",14087,13536,27623
"H82035",5912,5492,11404
"H82036",4594,4457,9051
"H82037",6465,6231,12696
"H82038",6957,6428,13385
"H82039",5719,5398,11117
"H82040",16107,15859,31966
"H82041",6989,6516,13505
"H82042",7025,6607,13632
"H82043",5912,5537,11449
"H82044",5613,5686,11299
"H82045",10544,10303,20847
"H82046",6203,6071,12274
"H82047",5632,5960,11592
"H82048",5801,5427,11228
"H82049",5435,5125,10560
"H82050",4856,5013,9869
"H82051",6257,5723,11980
"H82052",8329,8271,16600
"H82053",3634,3555,7189
"H82055",6861,6823,13684
"H82056",6869,6574,13443
"H82057",10592,10037,20629
"H82058",8274,8087,16361
"H82059",5796,5093,10889
"H82060",5176,5018,10194
"H82061",4247,4435,8682
"H82063",7812,7552,15364
"H82064",5034,5121,10155
"H82065",7259,6952,14211
"H82066",15682,16158,31840
"H82067",3447,3267,6714
"H82070",6821,6546,13367
"H82072",6967,6578,13545
"H82076",1952,1714,3666
"H82077",5883,5706,11589
"H82078",5642,5183,10825
"H82084",3393,3134,6527
"H82087",2202,1873,4075
"H82088",3201,3612,6813
"H82089",4182,4006,8188
"H82091",4264,4102,8366
"H82092",4995,4859,9854
"H82095",5545,5081,10626
"H82096",3025,3207,6232
"H82098",5213,5465,10678
"H82099",3918,3776,7694
"H82100",8544,7884,16428
"H82615",4276,4117,8393
"H82640",8315,8046,16361
"Y00080",3742,3676,7418
"Y00351",5763,6222,11985
"Y02676",4801,5097,9898
"Y06007",7766,7240,15006
